,JKL,ATC ,INN,Zaštićeno ime leka,FO,Pakovanje i jačina  leka,Naziv proizvođača leka,Država proizvodnje leka,Cena leka na veliko za pakovanje,DDD,Cena leka na veliko po DDD,Participacija osiguranog lica,Indikacija,Napomena
0,1122460,A02BC01,omeprazol,OMEPROL,"gastrorezistentna kapsula, tvrda","blister, 15 po 20 mg",Zdravlje a.d.,Republika Srbija,234.2,20 mg,15.613333333333333,0.8," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28),  
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21).","Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
1,1122935,A02BC01,omeprazol,OMEPRAZOL,"gastrorezistentna kapsula, tvrda","boca, 15 po 20 mg",Hemofarm a.d.,Republika Srbija,234.2,20 mg,15.613333333333333,0.8," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28),  
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21).","Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
2,1122866,A02BC02,pantoprazol,PANRAZOL,gastrorezistentna tableta,"blister, 14 po 20 mg",Zdravlje a.d; Balkanpharma-Dupnitsa ad; Actavis LTD.; Actavis EHF,Republika Srbija;  Bugarska; Malta;        Island,99.7,40 mg,14.242857142857144,0.8," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28), 
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21)."," Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja  (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci  na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
3,1122867,A02BC02,pantoprazol,PANRAZOL,gastrorezistentna tableta,"blister, 14 po 40 mg",Zdravlje a.d; Balkanpharma-Dupnitsa ad; Actavis LTD.; Actavis EHF,Republika Srbija;  Bugarska; Malta;        Island,120.1,40 mg,8.578571428571427,0.8," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28), 
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21)."," Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja  (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci  na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
4,1122915,A02BC02,pantoprazol,NOLPAZA,gastrorezistentna tableta,"blister, 14 po 20 mg","Krka, Tovarna Zdravil, d.d.;
Tad Pharma GMBH","Slovenija;
Nemačka",99.7,40 mg,14.242857142857144,0.8," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28), 
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21)."," Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja  (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci  na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
5,1122916,A02BC02,pantoprazol,NOLPAZA,gastrorezistentna tableta,"blister, 28 po 20 mg","Krka, Tovarna Zdravil, d.d.;
Tad Pharma GMBH","Slovenija;
Nemačka",199.4,40 mg,14.242857142857144,0.8," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28), 
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21)."," Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja  (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci  na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
6,1122920,A02BC02,pantoprazol,NOLPAZA,gastrorezistentna tableta,"blister, 14 po 40 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,120.1,40 mg,8.578571428571427,0.8," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28), 
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21)."," Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja  (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci  na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
7,1122921,A02BC02,pantoprazol,NOLPAZA,gastrorezistentna tableta,"blister, 28 po 40 mg","Krka, Tovarna Zdravil, d.d. ",,240.2,40 mg,8.578571428571427,0.8," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28), 
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21)."," Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja  (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci  na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
8,1122882,A02BC05,esomeprazol,EMANERA,"gastrorezistentna kapsula, tvrda","blister, 14 po 20 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,152.4,30 mg,16.32857142857143,0.75," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28),  
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21).","Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja  (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci  na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
9,1122881,A02BC05,esomeprazol,EMANERA,"gastrorezistentna kapsula, tvrda","blister, 28 po 20 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,304.8,30 mg,16.32857142857143,0.75," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28),  
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21).","Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja  (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci  na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
10,1122864,A02BC05,esomeprazol,EMANERA,"gastrorezistentna kapsula, tvrda","blister, 14 po 40 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,248.2,30 mg,13.29642857142857,0.75," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28),  
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21).","Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja  (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci  na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
11,1122865,A02BC05,esomeprazol,EMANERA,"gastrorezistentna kapsula, tvrda","blister, 28 po 40 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,496.5,30 mg,13.299107142857144,0.75," 1. Za eradikaciju Helicobacter pylori infekcije do 14 dana dokazanu validnim testom (K22.1; K25; K26; K28),
 2. Nakon krvarenja iz peptičkog ulkusa do 2 meseca (K25; K26; K28),  
 3. Gastroezofagealna refluksna bolest  do 2 nedelje terapije  (K21).","Za indikaciju pod tačkom 2. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
  Za indikaciju pod tačkom 3. nakon gore navedenog perioda lečenja  (2 nedelje) nastavak terapije do 8 nedelja u toku 12 meseci  na osnovu mišljenja: 
    a)   gastroenterologa ili
    b)   mišljenja specijaliste abdominalnog hirurga uz nalaz gornje endoskopije. "
12,3127425,A06AD11,laktuloza,DUPHALAC,oralni rastvor,"boca plastična, 1 po 500 ml (667 g/l)",Abbott Biologicals B.V.,Holandija,441.9,"6,7 g",8.877751124437781,0.15,"1.Portosistemske encefalopatije ( K72 ).
2.  Prevencija i terapija opstipacije izazvane opioidima.",  Za indikaciju pod tačkom 1. lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili infektologa/hepatologa.
13,5129472,A07EC02,mesalazin,SALOFALK,supozitorija,"strip, 10 po 500 mg",Dr Falk Pharma GmbH,Nemačka,691.8,"1,5 g",207.53999999999996,0.2,"1. Crohnova bolest (K50),
  2. Ulcerozni kolitis (K51). ",Za  indikacije pod tačkom 1. i 2.  lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
14,5129476,A07EC02,mesalazin,SALOFALK,supozitorija,"strip, 10 po 1g",Dr. Falk Pharma GmbH,Nemačka,1234.1,"1,5 g",185.11499999999998,0.2,"1. Crohnova bolest (K50),
  2. Ulcerozni kolitis (K51). ",Za  indikacije pod tačkom 1. i 2.  lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
15,3129476,A07EC02,mesalazin,SALOFALK,granule sa produženim oslobađanjem,"kesica, 50 po 500 mg",Dr. Falk Pharma GmbH,Nemačka,1948.4,"1,5 g",116.90400000000001,0.2,Ulcerozni kolitis (K51),Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
16,3129477,A07EC02,mesalazin,SALOFALK,granule sa produženim oslobađanjem,"kesica, 100 po 500 mg",Dr. Falk Pharma GmbH,Nemačka,3896.7,"1,5 g",116.90100000000001,0.2,Ulcerozni kolitis (K51),Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
17,3129478,A07EC02,mesalazin,SALOFALK,granule sa produženim oslobađanjem,"kesica, 50 po 1000 mg",Dr. Falk Pharma GmbH,Nemačka,3896.7,"1,5 g",116.90100000000001,0.2,Ulcerozni kolitis (K51),Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
18,3129479,A07EC02,mesalazin,SALOFALK,granule sa produženim oslobađanjem,"kesica, 100 po 1000 mg",Dr. Falk Pharma GmbH,Nemačka,7793.4,"1,5 g",116.90100000000001,0.2,Ulcerozni kolitis (K51),Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
19,1129474,A07EC02,mesalazin,SALOFALK 500,gastrorezistentna tableta,"blister, 50 po 500 mg",Dr Falk Pharma GmbH,Nemačka,1550.1,"1,5 g",93.006,0.2,"1. Crohnova bolest (K50),
2. Ulcerozni kolitis (K51). ",Za  indikacije pod tačkom 1. i 2.  lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
20,1129475,A07EC02,mesalazin,SALOFALK 500,gastrorezistentna tableta,"blister, 100 po 500 mg",Dr Falk Pharma GmbH,Nemačka,3100.2,"1,5 g",93.006,0.2,"1. Crohnova bolest (K50),
2. Ulcerozni kolitis (K51). ",Za  indikacije pod tačkom 1. i 2.  lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
21,1129110,A07EC02,mesalazin,ASACOL,gastrorezistentna tableta,"blister, 100 po 400 mg","Lek farmacevtska družba d.d. u saradnji sa Tillots Pharma AG, Švajcarska",Slovenija,2066.5,"1,5 g",77.49375,0.2,"1. Crohnova bolest (K50),
  2. Ulcerozni kolitis (K51). ",Za  indikacije pod tačkom 1. i 2.  lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
22,1129130,A07EC02,mesalazin,PENTASA,tableta sa produženim oslobađanjem,"blister, 100 po 500 mg",Ferring International Center SA,Švajcarska,2904.7,"1,5 g",87.14099999999999,0.2,"1. Crohnova bolest (K50),
  2. Ulcerozni kolitis (K51). ",Za  indikacije pod tačkom 1. i 2.  lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
23,5129131,A07EC02,mesalazin,PENTASA,supozitorija,"blister, 28 po 1 g",Ferring International Center SA,Švajcarska,3455.4,"1,5 g",185.1107142857143,0.2,"1. Crohnova bolest (K50),
  2. Ulcerozni kolitis (K51). ",Za  indikacije pod tačkom 1. i 2.  lek se u terapiju uvodi na osnovu mišljenja gastroenterologa.
24,1043005,A10BA02,metformin,GLUCOPHAGE,film tableta,"blister, 60 po 500 mg",Famar Lyon; Merck S.L.; Merck KGaA & Co. WerK Spittal; Merck Sante S.A.S.; Merck KGaA,Francuska; Španija; Austrija; Francuska; Nemačka,190.7,2 g,12.713333333333333,0.25,,
25,1043003,A10BA02,metformin,GLUCOPHAGE,film tableta,"blister, 30 po 500 mg",Famar Lyon; Merck S.L.; Merck KGaA & Co. WerK Spittal; Merck Sante S.A.S.; Merck KGaA,Francuska; Španija; Austrija; Francuska; Nemačka,95.3,2g,12.706666666666667,0.25,,
26,1043001,A10BA02,metformin,GLUCOPHAGE XR,tableta sa produženim oslobađanjem,"blister, 30 po 750 mg",Merck S.L; Merck Sante S.A.S; Merck KGaA; Famar  Lyon,Španija; Francuska; Nemačka; Francuska,249.8,2g,22.204444444444444,0.6,,
27,1043000,A10BA02,metformin,GLUCOPHAGE XR,tableta sa produženim oslobađanjem,"blister, 30 po 1000 mg",Merck Sante S.A.S; Merck KGaA;  Famar  Lyon,Francuska; Nemačka; Francuska,331.0,2 g,22.066666666666666,0.6,,
28,1042063,A10BB09,gliklazid,DIAPREL MR,tableta sa modifikovanim oslobađanjem,"blister, 30 po 60 mg",Servier (Ireland) Industries Ltd.; Les Laboratoires Servier Industrie; Anpharm Przedsiebiorstwo Farmacetyzne S.A.,Irska; Francuska; Poljska,370.4,60 mg,12.346666666666666,0.6,,
29,1042161,A10BB09,gliklazid,DIAPREL MR,tableta sa modifikovanim oslobađanjem,"blister, 60 po 60 mg",Servier (Ireland) Industries Ltd.; Les Laboratoires Servier Industrie; Anpharm Przedsiebiorstwo Farmacetyzne S.A.,Irska; Francuska; Poljska,740.7,60 mg,12.345,0.6,,
30,1042030,A10BB09,gliklazid,GLICLADA SR,tableta sa produženim oslobađanjem,"blister, 30 po 60 mg ",Krka tovarna Zdravil d.d.,Slovenija,284.9,60 mg,9.496666666666666,0.5,,
31,1042028,A10BB09,gliklazid,GLICLADA SR,tableta sa produženim oslobađanjem,"blister deljiv na pojedinačne doze, 30 po 90 mg","Krka d.d., Novo Mesto; Tad Pharma GmbH",Slovenija; Nemačka,333.8,60 mg,7.417777777777778,0.6,,
32,1042029,A10BB09,gliklazid,GLICLADA SR,tableta sa produženim oslobađanjem,"blister deljiv na pojedinačne doze, 60 po 90 mg","Krka d.d., Novo Mesto; Tad Pharma GmbH",Slovenija; Nemačka,667.5,60 mg,7.416666666666667,0.6,,
33,1042032,A10BB09,gliklazid,GLUKOWIN,tableta sa modifikovanim oslobađanjem,"blister, 30 po 60 mg",Merckle GmbH; Pliva Hrvatska d.o.o.,Nemačka; Hrvatska,284.9,60 mg,9.496666666666666,0.5,,
34,1341824,A10BG03,pioglitazon,OGLITION,tableta,"blister, 30 po 15 mg", Actavis Ltd., Malta,400.9,30 mg,26.726666666666667,0.5,"Monoterapija (uz promenu životnog stila, dijeta  i fizička aktivnost), ali samo u slučaju da postoji preosetljivost ili nepodnošenje metformina (E11.0; E11.2-E11.9)",Lek se uvodi u terapiju na osnovu mišljenja endokrinologa. Preosetljivost ili nepodnošenje metformina potrebno označiti na poleđini recepta.
35,1341824,A10BG03,pioglitazon,OGLITION,tableta,"blister, 30 po 15 mg", Actavis Ltd., Malta,400.9,30 mg,26.726666666666667,0.7,"1. U kombinaciji sa drugim oralnim antidijabetikom:
 - metformin kod odraslih pacijenata, naročito gojaznih, kod kojih nije moguće regulisati glikemiju upotrebom maksimalno tolerisanih doza metformina;  
- sulfonilureja samo kod pacijenata koji pokazuju netoleranciju na metformin ili kod kojih je kontraindikovana primena metformina, a kod kojih se kontrola glikemije nije mogla postići uprkos primeni maksimalno tolerisanih doza sulfonilureje.(E11.0; E11.2-E11.9)
2. U kombinaciji sa dva oralna antidijabetika (trojna terapija)
 -metformin i sulfonilureja, kod odraslih pacijenata (naročito gojaznih), kod kojih nije moguće postići kontrolu glikemije upotrebom dva oralna antidijabetika.(E11.0; E11.2-E11.9)
3. U kombinaciji sa insulinom kod odraslih pacijenata obolelih od diabetes mellitus tip 2, kod kojih se kontrola glikemije nije mogla postići upotrebom samo insulina, a upotreba metformina je kontraindikovana ili postoji njegova netolerancija (E11.0; E11.2-E11.9)",Lek se uvodi u terapiju na osnovu mišljenja endokrinologa
36,1341826,A10BG03,pioglitazon,OGLITION,tablete,"blister, 30 po 30 mg", Actavis Ltd., Malta,801.8,30 mg,26.726666666666667,0.5,"Monoterapija (uz promenu životnog stila, dijeta  i fizička aktivnost), ali samo u slučaju da postoji preosetljivost ili nepodnošenje metformina (E11.0; E11.2-E11.9)",Lek se uvodi u terapiju na osnovu mišljenja endokrinologa. Preosetljivost ili nepodnošenje metformina potrebno označiti na poleđini recepta.
37,1341826,A10BG03,pioglitazon,OGLITION,tablete,"blister, 30 po 30 mg", Actavis Ltd., Malta,801.8,30 mg,26.726666666666667,0.7,"1. U kombinaciji sa drugim oralnim antidijabetikom:
 - metformin kod odraslih pacijenata, naročito gojaznih, kod kojih nije moguće regulisati glikemiju upotrebom maksimalno tolerisanih doza metformina;  
- sulfonilureja samo kod pacijenata koji pokazuju netoleranciju na metformin ili kod kojih je kontraindikovana primena metformina, a kod kojih se kontrola glikemije nije mogla postići uprkos primeni maksimalno tolerisanih doza sulfonilureje.(E11.0; E11.2-E11.9)
2. U kombinaciji sa dva oralna antidijabetika (trojna terapija)
 -metformin i sulfonilureja, kod odraslih pacijenata (naročito gojaznih), kod kojih nije moguće postići kontrolu glikemije upotrebom dva oralna antidijabetika.(E11.0; E11.2-E11.9)
3. U kombinaciji sa insulinom kod odraslih pacijenata obolelih od diabetes mellitus tip 2, kod kojih se kontrola glikemije nije mogla postići upotrebom samo insulina, a upotreba metformina je kontraindikovana ili postoji njegova netolerancija (E11.0; E11.2-E11.9)",Lek se uvodi u terapiju na osnovu mišljenja endokrinologa
38,1050100,A11CC03,alfakalcidol,ALPHA D3,"kapsula, meka","bočica, 50 po 0,25 mcg",Teva Pharmaceutical Industries Ltd; Pharmachemie B.V.,Izrael; Holandija,550.4,1 mcg,44.032,0.25,"1. Hipokalcemija bilo koje etiologije ( E58 ),
  2. Renalna osteodistrofija ( N25.0 ),
  3. Osteomalacija kod vitamin D rezistentnog rahitisa ( E83.3),
  4. Glukokortikoidima indukovana osteoporoza ( M81.4).","Lek se uvodi u terapiju za indikaciju pod tačkom 1.  na osnovu mišljenja endokrinologa, a pod tačkom 2. na osnovu mišljenja nefrologa ili endokrinologa, a pod tačkom 3. i 4. na osnovu mišljenja reumatologa."
